replay,player,day,animals_COW,animals_GOOSE,animals_SHEEP,plants_CARROT,plants_MELON,plants_STRAWBERRY,plants_TOMATO,plants_WHEAT,tiles_planted_today_CARROT,tiles_planted_today_MELON,tiles_planted_today_STRAWBERRY,tiles_planted_today_TOMATO,tiles_planted_today_WHEAT,land_owned,hands,money
episode-94488124-replay,1,5,1,0,4,0,7,7,0,6,0,0,4,0,0,1,0,148.0
episode-94488124-replay,1,6,2,0,4,0,7,12,0,5,0,0,5,0,0,2,0,1137.0
episode-94488124-replay,1,7,6,0,4,0,7,20,0,10,0,0,8,0,5,2,0,379.0
episode-94488124-replay,1,8,8,0,4,0,7,21,0,9,0,0,1,0,3,2,0,183.0
episode-94488124-replay,1,9,9,0,4,0,7,22,0,8,0,0,1,0,0,2,0,986.0
episode-94488124-replay,1,10,9,1,4,0,0,34,0,8,0,0,12,0,0,3,0,8370.0
episode-94488124-replay,1,11,9,1,4,12,0,39,0,9,12,0,5,0,6,3,0,8265.0
episode-94488124-replay,1,12,9,1,4,12,0,39,0,10,0,0,0,0,4,3,0,12133.0
episode-94488124-replay,1,13,9,1,4,12,0,39,0,10,0,0,0,0,0,3,0,11902.0
episode-94488124-replay,1,14,9,1,4,0,0,39,0,14,0,0,0,0,4,3,0,13649.0
episode-94488124-replay,1,15,9,1,4,0,0,39,0,14,0,0,0,0,6,3,0,19284.0
episode-94488124-replay,1,16,9,1,4,0,0,39,0,17,0,0,0,0,7,3,0,27484.0
episode-94488124-replay,1,17,9,1,4,0,0,39,0,17,0,0,0,0,0,3,0,37131.0
episode-94488124-replay,1,18,8,1,4,0,0,37,0,24,0,0,0,0,11,3,0,42229.0
episode-94488124-replay,1,19,8,1,4,0,0,36,0,25,0,0,0,0,7,3,0,48234.0
episode-94488124-replay,1,20,8,1,4,0,0,36,0,24,0,0,0,0,6,3,0,56584.0
episode-94488124-replay,1,21,8,1,4,0,0,33,0,28,0,0,0,0,4,3,0,69869.0
episode-94488124-replay,1,22,8,1,4,0,0,32,0,27,0,0,0,0,9,3,0,77715.0
episode-94488124-replay,1,23,8,1,4,0,0,27,0,31,0,0,0,0,12,3,0,81666.0
episode-94488124-replay,1,24,8,1,4,0,0,18,0,42,0,0,0,0,18,3,0,86396.0
episode-94488124-replay,1,25,8,1,4,0,0,17,0,44,0,0,0,0,6,3,0,88781.0
episode-94488124-replay,1,26,8,1,4,12,0,5,0,43,12,0,0,0,8,3,0,90505.0
episode-94488124-replay,1,27,8,1,4,12,0,0,0,47,0,0,0,0,16,3,0,93915.0
episode-94488124-replay,1,28,8,1,4,12,0,0,0,30,0,0,0,0,0,3,0,98220.0
episode-94488124-replay,1,29,8,1,4,0,0,0,0,11,0,0,0,0,0,3,9,108844.0
episode-94489011-replay,0,0,0,0,4,0,7,0,0,5,0,7,0,0,5,1,0,170.0
episode-94489011-replay,0,1,0,0,4,0,7,0,0,9,0,0,0,0,4,1,0,48.0
episode-94489011-replay,0,2,0,0,4,0,7,2,0,10,0,0,2,0,1,1,0,313.0
episode-94489011-replay,0,3,0,0,4,0,7,3,0,10,0,0,1,0,0,1,0,468.0
episode-94489011-replay,0,4,1,0,4,0,7,3,0,10,0,0,0,0,5,1,0,14.0
episode-94489011-replay,0,5,1,0,4,0,7,7,0,6,0,0,4,0,0,1,0,171.0
episode-94489011-replay,0,6,2,0,4,0,7,12,0,6,0,0,5,0,1,2,0,869.0
episode-94489011-replay,0,7,6,0,4,0,7,19,0,10,0,0,7,0,4,2,0,775.0
episode-94489011-replay,0,8,7,0,4,0,7,26,0,5,0,0,7,0,0,2,0,534.0
episode-94489011-replay,0,9,7,1,4,0,7,26,0,5,0,0,0,0,0,2,0,2180.0
episode-94489011-replay,0,10,8,1,4,0,0,36,0,6,0,0,10,0,2,3,0,9467.0
episode-94489011-replay,0,11,8,1,4,12,0,39,0,11,12,0,3,0,9,3,0,9481.0
episode-94489011-replay,0,12,8,1,4,12,0,39,0,11,0,0,0,0,0,3,0,11497.0
episode-94489011-replay,0,13,8,1,4,12,0,39,0,11,0,0,0,0,0,3,0,11591.0
episode-94489011-replay,0,14,8,1,4,0,0,39,0,14,0,0,0,0,5,3,0,12683.0
episode-94489011-replay,0,15,8,1,4,0,0,39,0,15,0,0,0,0,10,3,0,15889.0
episode-94489011-replay,0,16,8,1,4,0,0,39,0,17,0,0,0,0,2,3,0,18575.0
episode-94489011-replay,0,17,8,1,4,0,0,39,0,17,0,0,0,0,0,3,0,22238.0
episode-94489011-replay,0,18,8,1,4,0,0,37,12,13,0,0,0,12,1,3,0,25035.0
episode-94489011-replay,0,19,8,1,4,0,0,36,12,14,0,0,0,0,11,3,0,30758.0
episode-94489011-replay,0,20,8,1,4,0,0,36,12,14,0,0,0,0,2,3,0,37166.0
episode-94489011-replay,0,21,8,1,4,0,0,32,12,18,0,0,0,0,4,3,0,41550.0
episode-94489011-replay,0,22,8,1,4,0,0,27,12,23,0,0,0,0,6,3,0,42570.0
episode-94489011-replay,0,23,8,1,4,0,0,20,12,29,0,0,0,0,16,3,0,43531.0
episode-94489011-replay,0,24,8,1,4,0,0,13,12,37,0,0,0,0,11,3,0,44034.0
episode-94489011-replay,0,25,8,1,4,0,0,13,12,37,0,0,0,0,3,3,0,43962.0
episode-94489011-replay,0,26,8,1,4,0,0,3,12,47,0,0,0,0,17,3,0,43251.0
episode-94489011-replay,0,27,8,1,4,0,0,0,12,48,0,0,0,0,17,3,0,53978.0
episode-94489011-replay,0,28,8,1,4,0,0,0,12,35,0,0,0,0,0,3,0,56934.0
episode-94489011-replay,0,29,8,1,4,0,0,0,12,7,0,0,0,0,0,3,10,71287.0
episode-94489011-replay,1,0,2,0,2,0,12,0,0,7,0,12,0,0,7,1,0,18.0
episode-94489011-replay,1,1,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,167.0
episode-94489011-replay,1,2,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,36.0
episode-94489011-replay,1,3,3,0,2,0,12,0,0,7,0,0,0,0,0,1,0,14.0
episode-94489011-replay,1,4,3,0,2,0,12,0,0,3,0,0,0,0,3,1,0,124.0
episode-94489011-replay,1,5,4,0,2,0,12,4,0,3,0,0,4,0,0,1,0,299.0
episode-94489011-replay,1,6,4,0,2,0,12,6,0,3,0,0,2,0,0,2,0,1612.0
episode-94489011-replay,1,7,6,0,4,0,12,8,0,3,0,0,2,0,0,2,0,93.0
episode-94489011-replay,1,8,6,0,4,0,12,19,0,3,0,0,11,0,3,2,0,484.0
episode-94489011-replay,1,9,8,0,4,0,12,19,0,5,0,0,0,0,2,2,0,1041.0
episode-94489011-replay,1,10,8,0,4,0,0,19,0,9,0,0,0,0,4,2,0,14764.0
episode-94489011-replay,1,11,10,0,4,0,0,37,0,17,0,0,18,0,8,3,0,11261.0
episode-94489011-replay,1,12,10,0,4,0,0,39,0,17,0,0,2,0,3,3,0,11817.0
episode-94489011-replay,1,13,10,0,4,0,0,42,0,17,0,0,3,0,2,3,0,13773.0
episode-94489011-replay,1,14,10,0,4,0,0,40,0,15,0,0,0,0,2,3,0,14888.0
episode-94489011-replay,1,15,10,0,4,0,0,40,0,14,0,0,0,0,7,3,0,18052.0
episode-94489011-replay,1,16,10,0,4,0,0,40,0,19,0,0,0,0,8,3,0,19924.0
episode-94489011-replay,1,17,10,0,4,0,0,40,0,19,0,0,0,0,2,3,0,21680.0
episode-94489011-replay,1,18,10,0,4,0,0,40,0,21,0,0,0,0,4,3,0,23513.0
episode-94489011-replay,1,19,10,0,4,0,0,40,0,19,0,0,0,0,5,3,0,29839.0
episode-94489011-replay,1,20,10,0,4,0,0,40,0,15,0,0,0,0,4,3,0,32282.0
episode-94489011-replay,1,21,10,0,4,2,0,38,0,14,2,0,0,0,1,3,0,38302.0
episode-94489011-replay,1,22,10,0,4,3,0,32,0,15,1,0,0,0,5,3,0,41254.0
episode-94489011-replay,1,23,10,0,4,3,0,30,0,19,0,0,0,0,9,3,0,42743.0
episode-94489011-replay,1,24,10,0,4,9,0,30,0,15,8,0,0,0,0,3,0,43013.0
episode-94489011-replay,1,25,10,0,4,20,0,19,0,14,12,0,0,0,0,3,0,43113.0
episode-94489011-replay,1,26,10,0,4,33,0,19,0,9,13,0,0,0,0,3,0,42312.0
episode-94489011-replay,1,27,10,0,4,40,0,15,0,0,11,0,0,0,0,3,0,44165.0
episode-94489011-replay,1,28,10,0,2,11,0,3,0,0,0,0,0,0,0,3,0,46619.0
episode-94489011-replay,1,29,10,0,2,2,0,2,0,0,0,0,0,0,0,3,8,55370.0
episode-94489889-replay,0,0,2,0,2,0,12,0,0,7,0,12,0,0,7,1,0,18.0
episode-94489889-replay,0,1,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,167.0
episode-94489889-replay,0,2,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,36.0
episode-94489889-replay,0,3,3,0,2,0,12,0,0,7,0,0,0,0,0,1,0,14.0
episode-94489889-replay,0,4,3,0,2,0,12,0,0,3,0,0,0,0,3,1,0,124.0
episode-94489889-replay,0,5,4,0,2,0,12,4,0,3,0,0,4,0,0,1,0,300.0
episode-94489889-replay,0,6,4,0,2,0,14,4,0,3,0,2,0,0,0,2,0,1384.0
episode-94489889-replay,0,7,6,0,3,0,17,8,0,3,0,3,4,0,0,2,0,365.0
episode-94489889-replay,0,8,6,0,4,0,17,11,0,5,0,0,3,0,5,2,0,1421.0
episode-94489889-replay,0,9,6,0,6,0,17,11,0,5,0,0,0,0,0,2,0,2258.0
episode-94489889-replay,0,10,6,0,6,0,5,11,0,8,0,0,0,0,3,2,0,15750.0
episode-94489889-replay,0,11,6,0,8,0,5,31,0,17,0,0,20,0,9,3,0,12323.0
episode-94489889-replay,0,12,6,0,9,0,5,33,0,21,0,0,2,0,9,4,0,9087.0
episode-94489889-replay,0,13,6,0,10,0,5,34,0,24,0,0,1,0,3,4,0,11614.0
episode-94489889-replay,0,14,6,0,10,0,5,34,0,22,0,0,0,0,1,4,0,14640.0
episode-94489889-replay,0,15,6,0,11,0,5,34,0,17,0,0,0,0,4,4,0,19224.0
episode-94489889-replay,0,16,6,0,11,0,3,34,0,17,0,0,0,0,9,4,0,28045.0
episode-94489889-replay,0,17,6,0,12,0,0,33,0,19,0,0,0,0,7,4,0,34984.0
episode-94489889-replay,0,18,6,0,12,0,0,33,0,34,0,0,0,0,16,4,0,37489.0
episode-94489889-replay,0,19,6,0,12,0,0,33,0,39,0,0,0,0,7,4,0,42483.0
episode-94489889-replay,0,20,6,0,12,0,0,33,0,34,0,0,0,0,4,4,0,45824.0
episode-94489889-replay,0,21,6,0,12,0,0,31,0,28,0,0,0,0,3,4,0,51181.0
episode-94489889-replay,0,22,6,0,12,1,0,27,0,24,1,0,0,0,12,4,0,55824.0
episode-94489889-replay,0,23,6,0,12,2,0,27,0,24,1,0,0,0,5,4,0,61886.0
episode-94489889-replay,0,24,6,0,12,2,0,21,0,31,0,0,0,0,10,4,0,66043.0
episode-94489889-replay,0,25,6,0,12,1,0,21,0,40,0,0,0,0,11,4,0,67326.0
episode-94489889-replay,0,26,6,0,12,1,0,21,0,32,0,0,0,0,6,4,0,72139.0
episode-94489889-replay,0,27,6,0,12,0,0,20,0,38,0,0,0,0,11,4,0,76275.0
episode-94489889-replay,0,28,6,0,9,0,0,1,0,11,0,0,0,0,0,4,0,79360.0
episode-94489889-replay,0,29,6,0,9,0,0,0,0,0,0,0,0,0,0,4,8,85321.0
episode-94489889-replay,1,0,0,0,4,0,7,0,0,5,0,7,0,0,5,1,0,170.0
episode-94489889-replay,1,1,0,0,4,0,7,0,0,9,0,0,0,0,4,1,0,48.0
episode-94489889-replay,1,2,0,0,4,0,7,2,0,10,0,0,2,0,1,1,0,313.0
episode-94489889-replay,1,3,0,0,4,0,7,3,0,10,0,0,1,0,0,1,0,468.0
episode-94489889-replay,1,4,1,0,4,0,7,3,0,10,0,0,0,0,5,1,0,14.0
episode-94489889-replay,1,5,1,0,4,0,7,7,0,6,0,0,4,0,0,1,0,171.0
episode-94489889-replay,1,6,2,0,4,0,7,14,0,7,0,0,7,0,2,2,0,2111.0
episode-94489889-replay,1,7,5,0,5,0,7,19,0,10,0,0,5,0,3,2,0,931.0
episode-94489889-replay,1,8,5,0,6,0,7,24,0,5,0,0,5,0,0,2,0,4.0
episode-94489889-replay,1,9,5,0,7,0,7,24,0,5,0,0,0,0,0,2,0,2644.0
episode-94489889-replay,1,10,6,0,9,0,0,31,0,3,0,0,7,0,0,2,0,10907.0
episode-94489889-replay,1,11,6,0,10,0,2,39,0,5,0,2,8,0,5,3,0,8455.0
episode-94489889-replay,1,12,6,0,10,0,4,39,0,12,0,2,0,0,7,3,0,12300.0
episode-94489889-replay,1,13,6,0,10,0,4,39,0,12,0,0,0,0,0,3,0,16005.0
episode-94489889-replay,1,14,6,0,10,0,4,39,0,14,0,0,0,0,2,3,0,18775.0
episode-94489889-replay,1,15,6,0,10,0,4,39,0,16,0,0,0,0,7,3,0,23095.0
episode-94489889-replay,1,16,6,0,10,0,4,39,0,16,0,0,0,0,7,3,0,32051.0
episode-94489889-replay,1,17,6,0,10,0,4,39,0,16,0,0,0,0,0,3,0,39765.0
episode-94489889-replay,1,18,6,0,10,0,4,37,0,17,0,0,0,0,3,3,0,47352.0
episode-94489889-replay,1,19,6,0,10,0,4,36,0,19,0,0,0,0,9,3,0,52006.0
episode-94489889-replay,1,20,6,0,10,0,4,36,0,18,0,0,0,0,6,3,0,60374.0
episode-94489889-replay,1,21,6,0,10,0,2,33,0,24,0,0,0,0,6,3,0,67155.0
episode-94489889-replay,1,22,6,0,10,0,0,32,0,24,0,0,0,0,4,3,0,76174.0
episode-94489889-replay,1,23,6,0,10,0,0,24,0,26,0,0,0,0,11,3,0,80421.0
episode-94489889-replay,1,24,6,0,10,0,0,19,0,37,0,0,0,0,16,3,0,86460.0
episode-94489889-replay,1,25,6,0,10,0,0,14,0,38,0,0,0,0,7,3,0,90674.0
episode-94489889-replay,1,26,6,0,10,0,0,14,0,38,0,0,0,0,4,3,0,93101.0
episode-94489889-replay,1,27,6,0,10,0,0,8,0,41,0,0,0,0,14,3,0,96013.0
episode-94489889-replay,1,28,6,0,10,0,0,0,0,25,0,0,0,0,0,3,0,100392.0
episode-94489889-replay,1,29,6,0,10,0,0,0,0,8,0,0,0,0,0,3,7,105531.0
episode-94490775-replay,0,0,2,0,2,0,12,0,0,7,0,12,0,0,7,1,0,18.0
episode-94490775-replay,0,1,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,167.0
episode-94490775-replay,0,2,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,36.0
episode-94490775-replay,0,3,3,0,2,0,12,0,0,7,0,0,0,0,0,1,0,14.0
episode-94490775-replay,0,4,3,0,2,0,12,0,0,3,0,0,0,0,3,1,0,124.0
episode-94490775-replay,0,5,4,0,2,0,12,4,0,3,0,0,4,0,0,1,0,133.0
episode-94490775-replay,0,6,4,0,2,0,14,4,0,3,0,2,0,0,0,2,0,970.0
episode-94490775-replay,0,7,6,0,3,0,20,7,0,3,0,6,3,0,0,2,0,53.0
episode-94490775-replay,0,8,6,0,4,0,20,11,0,5,0,0,4,0,5,2,0,1586.0
episode-94490775-replay,0,9,8,0,4,0,20,11,0,5,0,0,0,0,0,2,0,2093.0
episode-94490775-replay,0,10,8,0,4,0,8,11,0,11,0,0,0,0,6,2,0,15387.0
episode-94490775-replay,0,11,10,0,4,0,8,30,0,17,0,0,19,0,6,3,0,12542.0
episode-94490775-replay,0,12,10,0,4,0,8,32,0,15,0,0,2,0,3,3,0,14731.0
episode-94490775-replay,0,13,10,0,4,0,8,34,0,17,0,0,2,0,2,3,0,16683.0
episode-94490775-replay,0,14,10,0,4,0,8,34,0,13,0,0,0,0,2,3,0,20078.0
episode-94490775-replay,0,15,10,0,4,0,8,34,0,15,0,0,0,0,8,3,0,26142.0
episode-94490775-replay,0,16,10,0,4,0,6,34,0,20,0,0,0,0,8,3,0,29704.0
episode-94490775-replay,0,17,10,0,4,0,0,34,0,23,0,0,0,0,5,3,0,36562.0
episode-94490775-replay,0,18,10,0,4,0,0,34,0,27,0,0,0,0,6,3,0,44600.0
episode-94490775-replay,0,19,10,0,4,0,0,34,0,24,0,0,0,0,5,3,0,49888.0
episode-94490775-replay,0,20,10,0,4,0,0,34,0,19,0,0,0,0,1,3,0,58911.0
episode-94490775-replay,0,21,10,0,4,1,0,31,0,23,1,0,0,0,11,3,0,66359.0
episode-94490775-replay,0,22,10,0,4,4,0,29,0,26,3,0,0,0,10,3,0,74501.0
episode-94490775-replay,0,23,10,0,4,4,0,27,0,28,0,0,0,0,5,3,0,90128.0
episode-94490775-replay,0,24,10,0,4,4,0,25,0,28,1,0,0,0,2,3,0,99293.0
episode-94490775-replay,0,25,10,0,4,4,0,22,0,25,3,0,0,0,8,3,0,105940.0
episode-94490775-replay,0,26,10,0,4,4,0,22,0,29,0,0,0,0,14,3,0,112481.0
episode-94490775-replay,0,27,10,0,4,3,0,16,0,37,0,0,0,0,13,3,0,123367.0
episode-94490775-replay,0,28,10,0,4,0,0,3,0,13,0,0,0,0,0,3,0,133146.0
episode-94490775-replay,0,29,10,0,4,0,0,1,0,2,0,0,0,0,0,3,8,147659.0
episode-94490775-replay,1,0,0,0,4,0,7,0,0,5,0,7,0,0,5,1,0,170.0
episode-94490775-replay,1,1,0,0,4,0,7,0,0,9,0,0,0,0,4,1,0,48.0
episode-94490775-replay,1,2,0,0,4,0,7,2,0,10,0,0,2,0,1,1,0,313.0
episode-94490775-replay,1,3,0,0,4,0,7,3,0,10,0,0,1,0,0,1,0,471.0
episode-94490775-replay,1,4,1,0,4,0,7,3,0,10,0,0,0,0,5,1,0,17.0
episode-94490775-replay,1,5,1,0,4,0,7,7,0,6,0,0,4,0,0,1,0,148.0
episode-94490775-replay,1,6,2,0,4,0,7,12,0,5,0,0,5,0,0,2,0,1137.0
episode-94490775-replay,1,7,6,0,4,0,7,20,0,10,0,0,8,0,5,2,0,379.0
episode-94490775-replay,1,8,8,0,4,0,7,21,0,9,0,0,1,0,3,2,0,182.0
episode-94490775-replay,1,9,9,0,4,0,7,22,0,8,0,0,1,0,0,2,0,1391.0
episode-94490775-replay,1,10,11,0,4,0,0,33,0,8,0,0,11,0,0,3,0,6840.0
episode-94490775-replay,1,11,11,0,4,8,4,41,0,7,8,4,8,0,4,3,0,6468.0
episode-94490775-replay,1,12,11,0,4,8,4,41,0,7,0,0,0,0,3,3,0,10844.0
episode-94490775-replay,1,13,11,0,4,8,4,41,0,7,0,0,0,0,0,3,0,10746.0
episode-94490775-replay,1,14,11,0,4,1,4,41,0,12,0,0,0,0,5,3,0,12640.0
episode-94490775-replay,1,15,11,0,4,0,4,41,0,15,0,0,0,0,7,3,0,19665.0
episode-94490775-replay,1,16,11,0,4,0,4,41,0,15,0,0,0,0,3,3,0,26787.0
episode-94490775-replay,1,17,11,0,4,0,4,41,0,15,0,0,0,0,0,3,0,36993.0
episode-94490775-replay,1,18,11,0,4,0,4,39,0,17,0,0,0,0,7,3,0,44790.0
episode-94490775-replay,1,19,11,0,4,0,4,38,0,16,0,0,0,0,6,3,0,54230.0
episode-94490775-replay,1,20,11,0,4,0,4,38,0,18,0,0,0,0,5,3,0,67053.0
episode-94490775-replay,1,21,11,0,4,0,0,35,0,23,0,0,0,0,7,3,0,81785.0
episode-94490775-replay,1,22,11,0,4,0,0,33,0,26,0,0,0,0,10,3,0,93407.0
episode-94490775-replay,1,23,11,0,4,0,0,29,0,29,0,0,0,0,6,3,0,102252.0
episode-94490775-replay,1,24,11,0,4,0,0,20,0,40,0,0,0,0,17,3,0,110222.0
episode-94490775-replay,1,25,11,0,4,0,0,19,0,41,0,0,0,0,8,3,0,119833.0
episode-94490775-replay,1,26,11,0,4,0,0,12,0,45,0,0,0,0,14,3,0,125466.0
episode-94490775-replay,1,27,11,0,4,0,0,6,0,54,0,0,0,0,14,3,0,136992.0
episode-94490775-replay,1,28,11,0,4,0,0,0,0,37,0,0,0,0,0,3,0,143975.0
episode-94490775-replay,1,29,11,0,4,0,0,0,0,10,0,0,0,0,0,3,9,153953.0
episode-94491659-replay,0,0,2,0,2,0,12,0,0,7,0,12,0,0,7,1,0,18.0
episode-94491659-replay,0,1,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,167.0
episode-94491659-replay,0,2,2,0,2,0,12,0,0,7,0,0,0,0,0,1,0,36.0
episode-94491659-replay,0,3,3,0,2,0,12,0,0,7,0,0,0,0,0,1,0,14.0
episode-94491659-replay,0,4,3,0,2,0,12,0,0,3,0,0,0,0,3,1,0,124.0
episode-94491659-replay,0,5,4,0,2,0,12,4,0,3,0,0,4,0,0,1,0,282.0
episode-94491659-replay,0,6,4,0,2,0,12,6,0,3,0,0,2,0,0,2,0,1677.0
episode-94491659-replay,0,7,6,0,4,0,12,8,0,3,0,0,2,0,0,2,0,162.0
episode-94491659-replay,0,8,6,0,4,0,12,19,0,3,0,0,11,0,3,2,0,600.0
episode-94491659-replay,0,9,6,0,6,0,12,19,0,5,0,0,0,0,2,2,0,1590.0
episode-94491659-replay,0,10,6,0,6,0,0,19,0,8,0,0,0,0,3,2,0,16125.0
episode-94491659-replay,0,11,6,0,8,0,0,34,0,17,0,0,15,0,9,3,0,12295.0
episode-94491659-replay,0,12,6,0,9,0,0,34,0,27,0,0,0,0,13,4,0,7576.0
episode-94491659-replay,0,13,6,0,11,0,0,42,0,26,0,0,8,0,1,4,0,9962.0
episode-94491659-replay,0,14,6,0,11,0,0,42,0,24,0,0,0,0,1,4,0,12535.0
episode-94491659-replay,0,15,6,0,12,0,0,42,0,23,0,0,0,0,8,4,0,17332.0
episode-94491659-replay,0,16,6,0,12,0,0,42,0,19,0,0,0,0,9,4,0,22293.0
episode-94491659-replay,0,17,6,0,12,0,0,42,0,21,0,0,0,0,4,4,0,24740.0
episode-94491659-replay,0,18,6,0,12,0,0,41,0,29,0,0,0,0,9,4,0,32118.0
episode-94491659-replay,0,19,6,0,12,0,0,41,0,31,0,0,0,0,7,4,0,38374.0
episode-94491659-replay,0,20,6,0,12,0,0,41,0,25,0,0,0,0,4,4,0,41197.0
episode-94491659-replay,0,21,6,0,12,0,0,40,0,22,0,0,0,0,5,4,0,42256.0
episode-94491659-replay,0,22,6,0,12,1,0,36,0,18,1,0,0,0,5,4,0,47004.0
episode-94491659-replay,0,23,6,0,12,1,0,33,0,21,0,0,0,0,7,4,0,50340.0
episode-94491659-replay,0,24,6,0,12,1,0,31,0,19,0,0,0,0,3,4,0,52324.0
episode-94491659-replay,0,25,6,0,12,1,0,20,0,22,1,0,0,0,9,4,0,58176.0
episode-94491659-replay,0,26,6,0,12,2,0,20,0,29,1,0,0,0,11,4,0,57602.0
episode-94491659-replay,0,27,6,0,12,2,0,17,0,34,0,0,0,0,11,4,0,61561.0
episode-94491659-replay,0,28,6,0,9,0,0,6,0,12,0,0,0,0,0,4,0,67297.0
episode-94491659-replay,0,29,6,0,9,0,0,6,0,1,0,0,0,0,0,4,8,77279.0
episode-94491659-replay,1,0,0,0,4,0,7,0,0,5,0,7,0,0,5,1,0,170.0
episode-94491659-replay,1,1,0,0,4,0,7,0,0,9,0,0,0,0,4,1,0,48.0
episode-94491659-replay,1,2,0,0,4,0,7,2,0,10,0,0,2,0,1,1,0,313.0
episode-94491659-replay,1,3,0,0,4,0,7,3,0,10,0,0,1,0,0,1,0,471.0
episode-94491659-replay,1,4,1,0,4,0,7,3,0,10,0,0,0,0,5,1,0,17.0
episode-94491659-replay,1,5,1,0,4,0,7,7,0,6,0,0,4,0,0,1,0,155.0
episode-94491659-replay,1,6,2,0,4,0,7,14,0,7,0,0,7,0,2,2,0,2097.0
episode-94491659-replay,1,7,5,0,5,0,7,19,0,10,0,0,5,0,3,2,0,932.0
episode-94491659-replay,1,8,5,0,6,0,7,19,0,10,0,0,0,0,5,2,0,53.0
episode-94491659-replay,1,9,5,0,8,0,7,19,0,10,0,0,0,0,0,2,0,2712.0
